,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,1,1,1,1,histoire,history
1,2,2,2,2,chercher,search
2,3,3,3,3,seulement,only
3,4,4,4,4,police,police
4,5,5,5,5,pensais,thought
5,6,6,6,6,aide,help
6,7,7,7,7,demande,request
7,8,8,8,8,genre,kind
8,9,9,9,9,mois,month
9,10,10,10,10,frère,brother
10,11,11,11,11,laisser,let
11,12,12,12,12,car,because
12,13,13,13,13,mettre,to put
13,14,14,14,14,aucun,no
14,15,15,15,15,laisse,leash
15,16,16,16,16,eux,them
16,17,17,17,17,ville,city
17,18,18,18,18,chaque,each
18,19,19,19,19,parlé,speak
19,20,20,20,20,arrivé,come
20,21,21,21,21,devrait,should
21,22,22,22,22,bébé,baby
22,23,23,23,23,longtemps,long time
23,24,24,24,24,heures,hours
24,25,25,25,25,vont,will
25,26,26,26,26,pendant,while
26,27,27,27,27,revoir,meet again
27,28,28,29,29,place,square
28,29,29,30,30,parle,speak
29,30,30,31,31,compris,understood
30,31,31,32,32,savais,knew
31,32,32,33,33,étaient,were
32,33,33,34,35,voici,here is
33,34,34,35,36,pourrais,could
34,35,35,36,37,affaire,case
35,36,36,37,38,donner,give
36,37,37,38,39,type,type
37,38,38,39,40,leurs,their
38,39,39,40,41,donné,given
39,40,40,41,42,train,train
40,41,41,42,43,corps,body
41,42,42,43,44,endroit,place
42,43,43,44,45,yeux,eyes
43,44,44,45,46,façon,way
44,45,45,46,47,écoute,listen
45,46,46,47,48,dont,whose
46,47,47,48,49,trouve,find
47,48,48,49,50,premier,first
48,49,49,50,51,perdu,lost
49,50,50,51,52,main,hand
50,51,51,52,53,première,first
51,52,52,53,54,côté,side
52,53,53,54,55,pouvoir,power
53,54,54,55,56,vieux,old
54,55,55,56,57,sois,be
55,56,56,57,58,tiens,here
56,57,57,58,59,matin,morning
57,58,58,59,60,tellement,so much
58,59,59,60,61,enfant,child
59,60,60,61,62,point,point
60,61,61,62,63,venu,came
61,62,62,63,64,suite,after
62,63,63,64,65,pardon,sorry
63,64,64,65,66,venez,come
64,65,65,66,67,devant,in front of
65,66,66,67,68,vers,towards
66,67,67,68,69,minutes,minutes
67,68,68,69,70,demandé,request
68,69,69,70,71,chambre,bedroom
69,71,71,72,73,droit,law
70,72,72,73,74,aimerais,would like to
71,73,73,74,75,aujourd'hui,today
72,74,74,75,76,mari,husband
73,75,75,76,77,cause,cause
74,76,76,77,78,enfin,finally
75,77,77,78,79,espère,hope
76,78,78,79,80,eau,water
77,80,80,81,82,parti,left
78,81,81,82,83,nouvelle,new
79,82,82,83,84,boulot,job
80,83,83,84,85,arrêter,Stop
81,84,84,85,86,dirait,would say
82,85,85,86,87,terre,Earth
83,86,86,87,88,compte,account
84,87,87,88,89,donne,given
85,88,88,89,90,loin,far
86,89,89,90,91,fin,end
87,90,90,91,92,croire,believe
88,91,91,92,93,chérie,sweetheart
89,92,93,94,95,plutôt,rather
90,93,94,95,96,aura,will have
91,94,95,96,97,filles,girls
92,95,96,97,98,jouer,to play
93,96,97,98,99,bureau,office
